id,stage,diff,breed,win,rank,wave_reached,wave_pct,score,kills,max_combo,clear_time,hp_remaining,hp_pct,coins_earned,upgrade_total,lang,ts,upgrade_house,upgrade_pow,upgrade_rate,upgrade_combo,upgrade_ally,upgrade_barkCd,upgrade_bark,upgrade_speed,upgrade_blast,upgrade_trap
CdVWFfSgUEwt2XxtxACa,park,endless,dal,FALSE,-,8,8,424780,279,75,135.5,0,0,16991,32,ja,2026-06-15T15:53:24.937Z,2,5,4,3,2,3,4,3,3,3
ChSDN5NxOdEIDW6PK22F,park,hard,shiba,TRUE,S,12,100,559880,387,67,179.8,13,93,18782,18,ja,2026-06-20T16:11:17.281Z,3,4,5,,2,,,,4,
Ci95DNnDmZUS9aEZuTKO,park,normal,shiba,FALSE,-,5,42,70520,90,24,73.5,11,92,0,9,ja,2026-06-17T12:12:31.428Z,1,3,2,,,,,1,2,
Ctnw7e3IyxJnxizsMASQ,park,endless,husky,FALSE,-,6,6,136850,144,39,96.2,0,0,5474,0,ja,2026-06-15T07:11:10.706Z,,,,,,,,,,
D0Qklwt9RjTTpBI2202e,park,normal,shiba,FALSE,-,7,58,111640,142,30,118.5,0,0,2480,0,ja,2026-06-16T06:18:47.375Z,,,,,,,,,,
D4fpBa0w1XH5qxw5BOio,park,hard,golden,TRUE,S,12,100,830810,517,76,227.9,10,100,27813,8,ja,2026-06-15T09:37:59.867Z,1,,,1,1,1,1,1,1,1
D7Fvodc9pyicTXULLjhN,park,normal,golden,FALSE,-,10,83,297980,274,41,181,0,0,6621,0,ja,2026-06-15T07:01:57.670Z,,,,,,,,,,
DNUV0PFQ0wOtszTjJSGI,park,normal,dal,FALSE,-,5,42,62410,87,21,91.1,0,0,1386,0,ja,2026-06-19T04:09:59.957Z,,,,,,,,,,
DShmj0c1WtKeXUfrCyVx,park,endless,corgi,FALSE,-,7,7,325440,235,60,127.6,0,0,13017,0,ja,2026-06-15T07:07:10.114Z,,,,,,,,,,
DYBHgNbkfMJnEksARrH4,snow,endless,golden,FALSE,-,9,9,1091420,520,111,177.2,0,0,43656,13,ja,2026-06-15T08:25:51.246Z,1,5,2,1,,,1,1,1,1
E5iR3Bpr3E7CIsGvCH9w,park,endless,shiba,FALSE,-,8,8,544260,322,76,138.8,0,0,21770,15,ja,2026-06-19T02:47:28.419Z,3,5,1,,2,,1,1,1,1
ES7gwqkBUhcFnhCaoa7Q,park,normal,pug,TRUE,S,12,100,487920,385,57,205,12,100,10922,6,ja,2026-06-15T08:21:39.202Z,1,1,1,,,,1,1,,1
Eeihuu3EOIf3prgl55oz,park,normal,golden,FALSE,-,9,75,194340,213,36,167.7,0,0,4318,0,ja,2026-06-15T06:48:26.721Z,,,,,,,,,,
EzD0YroSRfLtPlhU08LM,park,hard,golden,FALSE,-,8,67,239590,232,43,144.1,0,0,7986,0,ja,2026-06-15T06:53:13.862Z,,,,,,,,,,
FOBTJ6EI2CGM8h7Debi2,park,normal,shiba,FALSE,-,9,75,198120,201,39,143.8,0,0,4402,0,ja,2026-06-24T14:41:45.357Z,,,,,,,,,,
FPjERoo3qR5k0s703kIi,park,normal,husky,FALSE,-,6,50,76950,107,22,95.6,0,0,1710,0,ja,2026-06-22T07:37:04.961Z,,,,,,,,,,
FWKayOqT6YsaBDVcRyDc,park,normal,shiba,FALSE,-,7,58,128860,149,29,117.9,0,0,2863,0,ja,2026-06-15T11:58:15.114Z,,,,,,,,,,
Fb2z4EQddgNGdUtD07oa,park,normal,shiba,TRUE,S,12,100,399110,336,49,172.1,19,95,8949,40,ja,2026-06-22T07:09:19.377Z,5,5,5,3,2,3,5,5,4,3
FipvjT9fjYFR7DccIwnP,park,normal,golden,TRUE,S,12,100,369990,318,49,175.1,20,100,8302,40,ja,2026-06-22T07:18:47.269Z,5,5,5,3,2,3,5,5,4,3
FyUcORnSBIyCWv4vuF5X,park,normal,shiba,FALSE,-,7,58,102560,127,30,106.5,0,0,2279,0,ja,2026-06-16T14:11:42.849Z,,,,,,,,,,
GPfKT3q8jvdB3FesXsGb,snow,easy,shiba,FALSE,-,7,58,130770,149,29,124.5,0,0,2034,3,en,2026-06-22T06:39:00.413Z,,1,1,,,,1,,,
GfHp7RDTUnX4UUN6Rozz,snow,endless,dal,FALSE,-,12,12,4049220,1107,192,277,0,0,161968,40,ja,2026-06-22T07:43:09.465Z,5,5,5,3,2,3,5,5,4,3
HcmTrIUb7sdxsXmdFuVR,snow,easy,shiba,FALSE,-,6,50,116420,136,27,113.7,0,0,1810,0,ja,2026-06-15T09:32:17.844Z,,,,,,,,,,
HdUnRl4e71ZgaRo11IHg,park,endless,shiba,FALSE,-,4,4,58560,74,25,69.8,0,0,2342,0,ja,2026-06-15T12:03:32.285Z,,,,,,,,,,
HhLfi5Cl6OB2TWiLKlHL,park,easy,corgi,TRUE,S,12,100,224940,233,37,158.4,10,83,3555,0,ja,2026-06-22T06:35:47.392Z,,,,,,,,,,
HysBnFeekKZkWU9JuBVa,park,endless,corgi,FALSE,-,7,7,358380,243,66,112.9,0,0,14335,20,ja,2026-06-15T11:53:16.450Z,2,3,3,2,1,1,3,2,2,1
JIjAjy3NY16VYdKS6box,park,normal,shiba,FALSE,-,5,42,54290,78,21,74.7,0,0,1206,0,ja,2026-06-15T06:12:37.657Z,,,,,,,,,,
JTRPOZIDDWwwYfCfv8Iu,park,easy,shiba,TRUE,S,12,100,302760,295,44,197.2,6,50,4765,0,ja,2026-06-15T12:02:47.149Z,,,,,,,,,,
KTZLfwfQ4aCk4mmdfXAP,park,easy,husky,TRUE,S,12,100,232270,244,37,161.8,8,67,3669,0,ja,2026-06-22T06:38:40.305Z,,,,,,,,,,
KdNPTF87C7GoHZglP6nc,park,normal,golden,FALSE,-,5,42,59900,85,19,80.3,0,0,1331,0,ja,2026-06-19T04:05:47.273Z,,,,,,,,,,
Kiz6cu8JEuX12Ck7ff5N,beach,normal,husky,FALSE,-,4,33,52690,70,23,69.8,0,0,1170,0,ja,2026-06-15T06:21:00.761Z,,,,,,,,,,
KysPZ9C7kTHrfzBFVj9P,park,normal,corgi,TRUE,S,12,100,493170,385,57,219.6,14,70,11039,40,ja,2026-06-15T16:19:14.216Z,5,5,5,3,2,3,5,5,4,3
LjYYZWtfuGKKqv3jxDpZ,park,easy,shiba,TRUE,S,12,100,312340,295,44,185.4,12,100,4914,0,ja,2026-06-15T07:38:45.501Z,,,,,,,,,,
LnHBGTzW9AEfCBOIPZtR,park,hard,golden,FALSE,-,5,42,79580,102,29,83.5,0,0,2652,0,ja,2026-06-15T07:09:56.746Z,,,,,,,,,,
LuTGU3RHYvILXSbitgNJ,beach,normal,pug,FALSE,-,5,42,98050,112,26,87.4,0,0,2178,0,ja,2026-06-15T15:19:59.490Z,,,,,,,,,,
MD30C05UJ9uqLBkXpS0G,park,easy,shiba,TRUE,S,12,100,277650,265,41,155.4,18,100,4375,15,ja,2026-06-15T20:53:37.006Z,3,5,1,,2,,1,1,1,1
MchSPqhS4Sg0zlid18bA,park,normal,shiba,FALSE,-,6,50,74660,110,21,110.9,0,0,1659,0,ja,2026-06-15T08:43:44.658Z,,,,,,,,,,
MhezRSzVZMTWBKJqNh9v,park,endless,dal,FALSE,-,27,27,49565010,5771,631,900,8,50,0,37,ja,2026-06-15T16:12:21.346Z,3,5,5,3,2,3,5,5,3,3
MtnbQHXdpc2KjWT7UW4B,snow,easy,corgi,FALSE,-,10,83,209710,225,37,155,0,0,3262,0,ja,2026-06-22T07:22:10.334Z,,,,,,,,,,
N4LrGtEFa93FvHAFNXtX,park,easy,husky,FALSE,-,7,58,60660,96,19,114.4,6,50,0,0,ja,2026-06-15T14:45:11.744Z,,,,,,,,,,
NGkNMx4SQ0JRFaHvsW0o,park,endless,shiba,FALSE,-,5,5,88950,105,27,78.5,0,0,3558,0,ja,2026-06-15T07:17:20.274Z,,,,,,,,,,
Na5RIb5jSerlcU9e9Uu1,park,normal,shiba,FALSE,-,4,33,34080,54,16,68.1,0,0,757,0,ja,2026-06-15T06:51:55.738Z,,,,,,,,,,
NoCaBW8iJw2Z3OM7nty4,park,normal,shiba,FALSE,-,4,33,33980,57,16,64.4,0,0,755,0,ja,2026-06-16T00:57:04.569Z,,,,,,,,,,
OKuVVcMPTRjGUxlIrjSK,beach,easy,pug,TRUE,S,12,100,365500,333,41,192.9,12,100,5741,0,ja,2026-06-22T07:13:36.237Z,,,,,,,,,,
OViK9qQaOmy3QjhRAz42,park,easy,shiba,TRUE,S,12,100,312050,295,44,191.6,15,83,4910,15,ja,2026-06-15T00:47:47.080Z,3,5,1,,2,,1,1,1,1
OZjyfDYUJ1JGokjEdV9i,park,normal,pug,FALSE,-,8,67,154190,174,32,145,0,0,3426,0,ja,2026-06-15T15:17:46.243Z,,,,,,,,,,
P0auYJDhqWk5xaVpsXBu,park,normal,corgi,FALSE,-,7,58,138930,154,32,109.3,0,0,3087,0,ja,2026-06-15T11:46:00.935Z,,,,,,,,,,
P8XG5E2oXY3EAksIXE9C,park,normal,shiba,FALSE,-,4,33,39270,64,16,69.7,0,0,872,0,ja,2026-06-15T07:03:05.556Z,,,,,,,,,,
PGizgcBT68moQ55gk6Bn,beach,easy,husky,TRUE,S,12,100,259740,253,41,162.1,11,92,4096,0,ja,2026-06-22T07:05:00.969Z,,,,,,,,,,
PWgGUZAjZeNWQLOlwSTz,beach,easy,shiba,TRUE,S,12,100,267850,269,41,172.9,11,92,4222,0,ja,2026-06-22T06:44:46.371Z,,,,,,,,,,
PpuWR25ggMj8oS1wGAsh,park,normal,corgi,FALSE,-,7,58,120360,149,30,123,0,0,2674,0,ja,2026-06-22T07:42:57.219Z,,,,,,,,,,
QQBMBfV6D5KopF7cmWgv,park,easy,golden,TRUE,S,12,100,243540,248,37,172.1,9,75,3844,0,ja,2026-06-22T06:30:00.918Z,,,,,,,,,,
R72SxmeFJOdWALOpRzNQ,snow,endless,husky,FALSE,-,59,60,3000283300,29035,10255,3713.8,19,95,0,40,ja,2026-06-16T12:28:11.628Z,5,5,5,3,2,3,5,5,4,3
REDBT0tKxOPObSQr5EpR,beach,normal,golden,FALSE,-,4,33,51260,71,24,73.7,0,0,1139,0,ja,2026-06-16T19:14:03.116Z,,,,,,,,,,
Rm7aYuko9ilGIGcL5NFq,snow,easy,dal,TRUE,S,12,100,433710,356,53,176.6,22,100,6802,40,ja,2026-06-22T06:58:34.265Z,5,5,5,3,2,3,5,5,4,3
Ro9uhPRy02IcaqmoN8ix,park,normal,golden,FALSE,-,4,33,27980,54,12,62.5,0,0,621,0,ja,2026-06-18T17:32:14.332Z,,,,,,,,,,
SGmIlFu99I1K1Tv4EE5g,park,hard,golden,FALSE,-,4,33,67610,83,25,63.5,0,0,2253,6,ja,2026-06-20T15:56:34.184Z,,2,4,,,,,,,
SQmJ5Izj2TDixO3qrz0L,park,normal,husky,FALSE,-,5,42,55950,79,21,79.1,0,0,1243,0,ja,2026-06-22T06:51:27.833Z,,,,,,,,,,
ScUak4fhB4Sbox9113Zc,park,endless,shiba,FALSE,-,6,6,150350,158,41,108.7,0,0,6014,0,ja,2026-06-15T15:43:05.972Z,,,,,,,,,,
ScxS0FgZfzusocQ6zJLV,park,endless,shiba,FALSE,-,61,62,326735630,21798,924,2575.4,0,0,13069425,9,ja,2026-06-18T04:57:10.099Z,1,3,2,,,,,1,2,
SmFvTZHPEenuHmS8DEuS,park,endless,shiba,FALSE,-,5,5,81680,105,28,87.6,0,0,3267,0,ja,2026-06-15T12:00:49.404Z,,,,,,,,,,
T8Kj8drHiUPcTkh5ryMS,park,easy,corgi,TRUE,S,12,100,227780,232,37,139.5,22,100,3599,40,ja,2026-06-22T06:40:03.354Z,5,5,5,3,2,3,5,5,4,3
UTjjURx3242E7h6Kw5DK,park,endless,golden,FALSE,-,17,17,11214810,2178,261,432.1,0,0,448592,23,ja,2026-06-15T12:20:25.820Z,5,1,5,,2,1,1,4,4,
VcmB4FrxU0tBFBlpDCVF,snow,endless,husky,FALSE,-,24,24,48099490,5679,483,900,15,75,0,40,ja,2026-06-15T15:17:41.955Z,5,5,5,3,2,3,5,5,4,3
VlMT7U6ILjF3XTOQ2ABx,beach,hard,shiba,TRUE,S,12,100,1030020,597,86,239.6,10,100,34454,8,ja,2026-06-15T12:44:44.557Z,1,2,2,,2,,,,1,
WSaIOepdZZ1mD2xeKCzF,snow,easy,corgi,TRUE,S,12,100,394190,355,45,205.7,7,58,6187,0,ja,2026-06-22T07:30:43.197Z,,,,,,,,,,
X0CHuytx6cnPuGdzTO1u,snow,normal,husky,FALSE,-,4,33,89500,100,28,75.6,0,0,1988,0,ja,2026-06-15T06:40:06.223Z,,,,,,,,,,
XORWo26hrirVIkpcoI6R,park,endless,dal,FALSE,-,6,6,112290,122,37,92.1,1,10,0,0,ja,2026-06-15T07:09:10.006Z,,,,,,,,,,
XzfJXToxRpZq7osMVeud,park,normal,shiba,TRUE,S,12,100,361650,328,49,189,3,30,8116,0,ja,2026-06-20T15:53:09.118Z,,,,,,,,,,
YabpPSTx3w8Y1rsnP0DF,park,normal,shiba,FALSE,-,9,75,215900,217,37,143.5,0,0,4797,0,ja,2026-06-15T07:13:28.077Z,,,,,,,,,,
ZUvzhREDrxWNOXIQcyRR,park,normal,shiba,FALSE,-,6,50,69360,101,21,96.3,0,0,1541,0,ja,2026-06-24T14:34:03.876Z,,,,,,,,,,
ZWszNeV1529KQD3o1aqz,park,hard,golden,TRUE,S,12,100,811790,517,75,252.8,7,88,27179,4,ja,2026-06-15T12:10:16.546Z,,,,,,,,,4,
ZlPQjnjDKO3HShJTXXR7,beach,hard,golden,TRUE,S,12,100,799050,508,74,217.8,18,100,26755,26,ja,2026-06-20T16:16:22.624Z,5,5,5,3,2,1,1,,4,
a0nhSAc8ga2gGWXqEEY5,park,endless,shiba,FALSE,-,15,15,6963280,1600,232,316.8,11,61,0,33,ja,2026-06-15T07:26:14.791Z,4,5,5,1,2,1,5,4,4,2
aioUh0JY6EwcxYtRR9X6,park,normal,shiba,FALSE,-,4,33,37960,59,16,67.3,0,0,843,0,en,2026-06-22T06:49:09.878Z,,,,,,,,,,
axXJcB7LCd2FY7G9IhvG,snow,hard,golden,TRUE,S,12,100,1418010,673,106,242.7,14,100,47387,29,ja,2026-06-15T15:46:46.130Z,3,5,5,3,2,1,3,3,4,
ayAANmN9EVQ7GWmIt79O,park,normal,golden,FALSE,-,4,33,45710,64,21,65.2,1,10,0,0,ja,2026-06-28T11:50:42.674Z,,,,,,,,,,
bTK98TaRORAcz9C3C7G5,park,endless,pug,FALSE,-,5,5,107280,117,37,90.1,3,30,0,0,ja,2026-06-15T07:12:51.433Z,,,,,,,,,,
bk4oGFRHTUzaJERg02Yd,snow,easy,dal,TRUE,S,12,100,344640,337,40,196.8,1,8,5417,0,ja,2026-06-22T07:18:58.293Z,,,,,,,,,,
bk5VETmL5w0k4oY3ct2k,park,hard,shiba,FALSE,-,5,42,94850,114,29,95.7,0,0,3161,0,ja,2026-06-15T09:08:08.350Z,,,,,,,,,,
c4j5X9TQr63MogLQJ2pS,park,normal,corgi,FALSE,-,5,42,51780,76,19,83.1,0,0,1150,0,ja,2026-06-15T06:18:34.185Z,,,,,,,,,,
c78RnUvkmsawhBC80ou4,snow,easy,husky,TRUE,S,12,100,473570,383,52,172.1,22,100,7422,40,ja,2026-06-15T15:59:16.021Z,5,5,5,3,2,3,5,5,4,3
c8ndkscg8OkL8tQ9PLep,snow,endless,dal,FALSE,-,9,9,1083180,511,111,173.2,0,0,43327,40,ja,2026-06-19T04:16:11.181Z,5,5,5,3,2,3,5,5,4,3
cQIh9WRSWs9tmdmunMis,beach,normal,dal,FALSE,-,6,50,104240,126,29,106.1,0,0,2316,0,ja,2026-06-16T07:24:28.869Z,,,,,,,,,,
dhLaWgvNZv5B4R5UHUxB,beach,hard,husky,TRUE,S,12,100,1043700,597,86,246,10,63,34910,27,ja,2026-06-15T07:00:25.375Z,4,5,5,1,2,1,3,1,4,1
efoaUNGPB4JocTf7Z74A,park,normal,golden,FALSE,-,5,42,52590,80,19,86.7,0,0,1168,0,ja,2026-06-26T09:01:35.172Z,,,,,,,,,,
el7SS4q5io7PB3IMpqnQ,beach,hard,golden,FALSE,-,4,33,106580,110,29,79,0,0,3552,39,ja,2026-06-15T16:17:25.723Z,4,5,5,3,2,3,5,5,4,3
eqLUI7WlqMVqTobIKLjG,park,normal,golden,FALSE,-,7,58,128340,148,33,107.5,0,0,2852,7,ja,2026-06-20T15:59:12.853Z,,3,4,,,,,,,
fc7HCfyePsPWLRpBF1ft,beach,easy,golden,TRUE,S,12,100,269940,267,41,180.8,8,67,4255,0,ja,2026-06-22T06:48:51.624Z,,,,,,,,,,
fjZS71F2yxBP111VJAh4,park,normal,shiba,FALSE,-,7,58,118500,145,30,127.1,0,0,2633,0,ja,2026-06-15T06:06:01.937Z,,,,,,,,,,
fmOippc3TU3HAb4vaqAN,snow,endless,husky,FALSE,-,26,26,65054530,6240,857,900,17,85,0,40,ja,2026-06-15T09:45:57.784Z,5,5,5,3,2,3,5,5,4,3
g0sy8o7JW0kue8jAW53s,park,hard,golden,FALSE,-,6,50,134660,148,34,104.7,0,0,4488,11,ja,2026-06-15T06:57:00.214Z,,5,3,,,,3,,,
gLZqtya6t8tXpVHGeEop,park,normal,dal,FALSE,-,5,42,53390,80,21,85.9,0,0,1186,0,ja,2026-06-19T04:08:05.221Z,,,,,,,,,,
gZj7YQR26vuEdfWxPaio,park,normal,shiba,TRUE,S,12,100,317330,287,49,196.4,8,80,7131,0,ja,2026-06-16T06:20:38.433Z,,,,,,,,,,
hxo0hfliL7cOcfPoHdlo,park,normal,shiba,FALSE,-,5,42,53970,83,20,80.4,0,0,1199,0,ja,2026-06-15T08:16:21.716Z,,,,,,,,,,
i8fHndZDWhdiPCN0o9Mx,park,normal,golden,TRUE,S,12,100,487340,385,57,211.1,11,92,10909,15,ja,2026-06-15T06:42:09.437Z,1,5,2,1,1,1,1,1,1,1
ib51YaqKHnhNc3b5SdbE,snow,hard,pug,FALSE,-,4,33,165210,137,41,90.3,0,0,5507,37,ja,2026-06-15T16:15:47.455Z,3,5,5,3,2,3,5,5,3,3
j16YajT31f1ue79o8gba,park,normal,shiba,FALSE,-,4,33,25540,52,12,68.8,0,0,567,0,ja,2026-06-15T06:46:41.299Z,,,,,,,,,,
jM4UzBZ3d22G5JBYpPWw,park,normal,shiba,FALSE,-,7,58,114120,132,30,109.7,0,0,2536,0,ja,2026-06-26T12:51:09.254Z,,,,,,,,,,
jQ88s6h0jbhg2r06IKf9,park,normal,shiba,TRUE,S,12,100,490140,385,57,206.7,6,50,10972,10,ja,2026-06-15T06:37:38.410Z,1,1,1,1,1,1,1,1,1,1
jSCZUCuzUFPLzBl8ykf7,park,easy,dal,TRUE,S,12,100,313830,292,44,152.7,22,100,4937,40,ja,2026-06-22T06:44:22.077Z,5,5,5,3,2,3,5,5,4,3
jzpHVFXKsz3bwb5W2lO9,park,normal,corgi,FALSE,-,5,42,66180,88,21,77.8,0,0,1470,0,ja,2026-06-15T08:40:22.367Z,,,,,,,,,,
k1TM9zGh7GawikzayqBL,snow,hard,husky,TRUE,S,12,100,1277470,673,94,247.8,4,33,42702,27,ja,2026-06-15T09:23:30.394Z,2,5,5,2,2,2,3,2,2,2
k8MxrUBAWcQn5sqH494W,beach,easy,dal,TRUE,S,12,100,255710,246,41,164,5,42,4033,0,ja,2026-06-22T06:51:47Z,,,,,,,,,,
knTGhnGwVq2sbBWAbYx6,park,normal,corgi,FALSE,-,6,50,81980,106,25,93.5,0,0,1821,6,ja,2026-06-15T08:43:03.148Z,1,1,1,,,1,1,1,,
l8xz3rRt3KGhouAE69Rv,snow,endless,golden,FALSE,-,25,25,58773560,6093,631,900,12,75,0,22,ja,2026-06-15T13:23:10.433Z,3,5,5,3,2,,,,4,
lPmTnvM9D3BFsUmMPBXg,park,endless,pug,FALSE,-,6,6,134260,145,39,106.6,0,0,5370,0,ja,2026-06-15T07:04:38.054Z,,,,,,,,,,
m19RHLXsAbEqfZD1Ly8C,snow,endless,dal,FALSE,-,10,10,1703160,676,138,196.6,0,0,68126,40,ja,2026-06-15T15:54:43.746Z,5,5,5,3,2,3,5,5,4,3
mDCqISDkLRY5v9mKuXYg,park,endless,corgi,FALSE,-,6,6,118670,134,39,105.5,0,0,4746,0,ja,2026-06-15T10:38:56.496Z,,,,,,,,,,
mRnbA0hrUM9zz3UJgFHF,park,normal,shiba,FALSE,-,11,92,263890,263,45,172.1,0,0,5864,0,ja,2026-06-22T07:45:04.043Z,,,,,,,,,,
mUTzZInyweBqvYfk9gmT,beach,hard,golden,FALSE,-,4,33,86230,96,32,68.6,0,0,2874,11,ja,2026-06-15T06:58:21.392Z,,5,3,,,,3,,,
mYfqmA39JPWigreV3i0S,park,endless,corgi,FALSE,-,8,8,591960,335,83,141.1,0,0,23678,28,ja,2026-06-15T11:56:20.983Z,3,4,4,2,2,2,4,3,2,2
mz4r56CY1aJmeDJAxstv,park,endless,dal,FALSE,-,11,11,1567620,651,135,192.6,9,56,0,28,en,2026-06-22T07:05:57.803Z,3,4,4,2,2,1,4,3,3,2
nNFhESFu467Uw93L21YA,park,normal,corgi,TRUE,S,12,100,498690,385,57,199.2,12,100,11162,11,ja,2026-06-15T11:50:24.128Z,1,2,1,1,1,1,1,1,1,1
